1,8463
2,8219
3,9466
4,10486
5,10182
6,10394
7,10301
8,10089
9,9814
10,8322
11,8315
12,9914
13,9346
14,9512
15,8285
17,8422
18,8319
19,8809
20,8101
21,9465
22,8972
23,9057
24,9125
25,9472
26,9532
27,8231
28,8395
30,8417
31,8572
32,9297
33,9939
34,9297
35,9301
36,10354
37,10431
38,11417
39,9294
40,9239
41,9230
42,8271
43,8312
45,8277
46,8220
47,7552
48,4680
50,6440
51,7284
52,7853
53,9768
54,9992
55,8606
56,10160
57,8066
58,7306
59,8659
60,8591
61,9389
62,8058
63,9280
64,10277
65,10372
66,10303
67,10295
68,10817
69,11179
70,9005
71,9248
72,9464
73,9470
74,9553
75,9089
76,9933
77,9680
78,9834
79,8523
80,8598
81,8671
82,8603
83,9022
84,8786
85,8936
86,9979
87,9894
88,8264
90,8006
91,8270
92,8279
93,8438
94,7547
95,7520
96,7545
97,8020
98,8910
99,9865
100,8903
101,7776
102,8035
103,8096
104,10556
105,9083
106,8856
107,7705
108,6635
109,6197
110,6617
111,8467
112,8194
113,9239
114,9284
115,7072
116,7754
117,8612
118,8473
119,8057
120,6645
121,6743
122,9358
123,9313
124,9705
125,9604
126,9419
127,9469
128,9011
129,8932
130,7501
131,8781
132,9552
133,10798
134,9329
135,8454
136,9915
137,9057
138,10039
139,10110
140,10965
141,9935
142,9058
143,8967
144,10121
145,9672
146,8749
147,9049
148,10086
149,10106
150,9540
151,9614
152,9677
153,8949
154,8790
155,7780
156,7795
157,8012
158,8846
159,8837
160,9698
161,9320
162,8711
163,8570
164,8733
165,8778
166,8841
167,8652
168,7297
169,7238
170,7912
171,8070
172,8018
173,7848
174,5841
175,6991
177,6768
178,7140
179,6376
180,6477
181,6376
182,8048
183,8239
184,8600
185,8448
186,8416
187,7490
188,7820
189,8402
190,8432
191,9486
192,8990
193,9344
194,9509
195,7139
196,8386
197,8757
198,8462
199,8369
200,9772
201,9971
202,9504
203,10068
204,8705
205,10030
206,10244
207,11426
208,10061
209,10062
210,9809
211,7485
212,7539
213,10324
214,8903
215,9015
216,8915
217,8954
218,8566
219,8270
220,9596
221,7744
222,7076
223,7479
224,6861
225,7412
226,7457
227,7464
229,9274
230,8182
231,8703
232,9985
233,9924
234,10584
235,10572
236,9271
237,9169
238,9489
239,8950
240,7491
241,8909
242,7319
243,8765
244,8736
245,9582
246,7833
247,6922
248,9585
250,9711
251,9683
252,10719
253,11060
